,Name,Date,Developer,Publisher,Genre,Price,Langs,DLC,Mature,Single,Score
0,ULTRAKILL,"3 Sep, 2020","Arsi ""Hakita"" Patala",New Blood Interactive,"['Action', 'Indie', 'Early Access']",73.95,['English'],0,0,1.0,0.9674292467582134
1,A Short Hike,"30 Jul, 2019",adamgryu,adamgryu,"['Adventure', 'Indie']",29.5,"['English', 'French', 'Spanish - Latin America', 'Japanese', 'Portuguese - Brazil']",0,0,1.0,0.9612257327890248
2,Senren＊Banka,"14 Feb, 2020",Yuzusoft,HIKARI FIELD,"['Adventure', 'Casual']",131.95,"['English', 'Japanese', 'Simplified Chinese', 'Traditional Chinese']",0,1,1.0,0.9594301380162114
3,Aseprite,"22 Feb, 2016",David Capello,Igara Studio,"['Animation & Modeling', 'Design & Illustration', 'Game Development']",73.95,['English'],0,0,,0.9615248275210212
4,Aventura Copilului Albastru și Urât,"8 Feb, 2021",Codrin Bradea,Codrin Bradea,"['Adventure', 'Casual', 'Indie']",7.25,"['English', 'Romanian']",0,1,1.0,0.9448061315517036
5,星空列车与白的旅行,"14 May, 2021",しらたまこ,inc.ZOFE,['Adventure'],73.95,"['English', 'Japanese', 'Simplified Chinese']",0,1,1.0,0.930765808495002
6,Flowers -Le volume sur ete-,"26 Jul, 2018",Innocent Grey,JAST USA,['Casual'],73.95,"['English', 'Japanese', 'Simplified Chinese']",0,0,1.0,0.9311196822543396
7,Voidigo,"25 Feb, 2021",semiwork,semiwork,"['Action', 'Adventure', 'Indie', 'Early Access']",55.95,"['English', 'Swedish']",0,0,1.0,0.91985978513025
8,TOEM,"17 Sep, 2021",Something We Made,Something We Made,"['Adventure', 'Casual', 'Indie']",73.95,"['English', 'French', 'German', 'Spanish - Spain', 'Simplified Chinese', 'Japanese', 'Russian']",1,0,1.0,0.9180468771095044
9,Terraria,"16 May, 2011",Re-Logic,Re-Logic,"['Action', 'Adventure', 'Indie', 'RPG']",36.95,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese']",1,0,1.0,0.9716846444220204
10,Stardew Valley,"26 Feb, 2016",ConcernedApe,ConcernedApe,"['Indie', 'RPG', 'Simulation']",55.95,"['English', 'German', 'Spanish - Spain', 'Japanese', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'French', 'Italian', 'Hungarian', 'Korean', 'Turkish']",1,0,1.0,0.9708294265348808
11,Portal 2,"18 Apr, 2011",Valve,Valve,"['Action', 'Adventure']",7.25,"['English', 'French', 'German', 'Spanish - Spain', 'Czech', 'Danish', 'Dutch', 'Finnish', 'Hungarian', 'Italian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese', 'Romanian', 'Russian', 'Simplified Chinese', 'Swedish', 'Thai', 'Traditional Chinese', 'Turkish']",1,0,1.0,0.9767281881801811
12,Hades,"17 Sep, 2020",Supergiant Games,Supergiant Games,"['Action', 'Indie', 'RPG']",92.95,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Korean', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Polish', 'Japanese']",1,0,1.0,0.9739783056454026
13,Factorio,"14 Aug, 2020",Wube Software LTD.,Wube Software LTD.,"['Casual', 'Indie', 'Simulation', 'Strategy']",110.0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Hungarian', 'Dutch', 'Norwegian', 'Polish', 'Portuguese', 'Portuguese - Brazil', 'Romanian', 'Finnish', 'Swedish', 'Czech', 'Russian', 'Ukrainian', 'Japanese', 'Simplified Chinese', 'Traditional Chinese', 'Korean', 'Turkish']",1,0,1.0,0.9740502347269774
14,RimWorld,"17 Oct, 2018",Ludeon Studios,Ludeon Studios,"['Indie', 'Simulation', 'Strategy']",131.95,"['English', 'French', 'German', 'Polish', 'Russian', 'Italian', 'Spanish - Spain', 'Czech', 'Danish', 'Dutch', 'Hungarian', 'Japanese', 'Norwegian', 'Portuguese', 'Portuguese - Brazil', 'Simplified Chinese', 'Swedish', 'Traditional Chinese', 'Turkish', 'Ukrainian', 'Finnish', 'Korean', 'Romanian']",1,0,1.0,0.9687800648196536
15,Portal,"10 Oct, 2007",Valve,Valve,['Action'],36.95,"['English', 'French', 'German', 'Russian', 'Danish', 'Dutch', 'Finnish', 'Italian', 'Japanese', 'Norwegian', 'Polish', 'Portuguese', 'Simplified Chinese', 'Spanish - Spain', 'Swedish', 'Traditional Chinese', 'Korean']",1,0,1.0,0.9691147156696358
16,People Playground,"23 Jul, 2019",mestiez,Studio Minus,"['Action', 'Casual', 'Indie', 'Simulation']",36.95,['English'],0,1,1.0,0.972666899659628
17,Totally Accurate Battle Simulator,"1 Apr, 2021",Landfall,Landfall,"['Indie', 'Simulation', 'Strategy']",73.95,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Simplified Chinese', 'Portuguese', 'Russian']",1,0,1.0,0.9634737678314989
18,Half-Life: Alyx,"23 Mar, 2020",Valve,Valve,"['Action', 'Adventure']",224.95,"['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese', 'Italian', 'Czech', 'Hungarian', 'Polish', 'Portuguese', 'Portuguese - Brazil', 'Ukrainian', 'Vietnamese', 'Bulgarian', 'Greek', 'Danish', 'Dutch', 'Norwegian', 'Romanian', 'Thai', 'Turkish', 'Finnish', 'Swedish']",1,1,1.0,0.9684694510892964
19,Katana ZERO,"18 Apr, 2019",Askiisoft,Devolver Digital,"['Action', 'Indie']",55.95,"['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese']",1,1,1.0,0.9633317929233056
20,A Hat in Time,"5 Oct, 2017",Gears for Breakfast,Gears for Breakfast,"['Adventure', 'Indie']",110.95,"['English', 'German', 'Korean', 'French', 'Simplified Chinese', 'Traditional Chinese', 'Italian', 'Japanese', 'Portuguese', 'Portuguese - Brazil', 'Spanish - Latin America']",1,0,1.0,0.96099547204
21,OMORI,"25 Dec, 2020","OMOCAT, LLC","OMOCAT, LLC","['Adventure', 'Indie', 'RPG']",73.95,"['English', 'Japanese']",1,1,1.0,0.9632072613939484
22,The Henry Stickmin Collection,"7 Aug, 2020",PuffballsUnited,Innersloth,"['Adventure', 'Casual', 'Indie']",55.95,['English'],0,0,1.0,0.9650408259864088
23,OneShot,Dec 2016,Future Cat LLC,Degica,"['Adventure', 'Casual', 'Indie']",36.95,"['English', 'Japanese', 'French', 'Spanish - Spain', 'Portuguese - Brazil', 'Korean', 'Simplified Chinese']",1,0,1.0,0.9582929471219874
24,Firework,"3 Feb, 2021",Shiying Studio,Gamera Game,['Indie'],36.95,"['English', 'Simplified Chinese']",1,0,1.0,0.9576694948391672
25,PowerWash Simulator,"19 May, 2021",FuturLab,Square Enix,"['Casual', 'Indie', 'Simulation', 'Early Access']",73.95,"['English', 'Korean', 'Russian', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Simplified Chinese']",0,0,1.0,0.952703289238098
26,There Is No Game: Wrong Dimension,"6 Aug, 2020",Draw Me A Pixel,Draw Me A Pixel,"['Adventure', 'Casual', 'Indie']",47.95,"['English', 'French', 'Spanish - Spain', 'Portuguese - Brazil', 'German', 'Simplified Chinese', 'Italian', 'Russian', 'Korean', 'Japanese']",1,0,1.0,0.9557274485188808
27,Rhythm Doctor,"26 Feb, 2021",7th Beat Games,7th Beat Games,"['Indie', 'Early Access']",58.95,"['English', 'Simplified Chinese', 'Traditional Chinese', 'Korean', 'Spanish - Latin America', 'Portuguese - Brazil']",0,0,1.0,0.95828543982683
28,DUSK,"10 Dec, 2018",David Szymanski,New Blood Interactive,"['Action', 'Indie']",73.95,"['English', 'Simplified Chinese', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese', 'Portuguese - Brazil', 'Russian', 'Spanish - Latin America', 'Traditional Chinese', 'Turkish', 'Ukrainian']",1,0,1.0,0.9531678151270394
