,Name,Date,Developer,Publisher,Genre,Price,Langs,DLC,Mature,Single,Total Review Cnt,Pos Review Cnt,Neg Review Cnt,Score
0,ULTRAKILL,"3 Sep, 2020","Arsi ""Hakita"" Patala",New Blood Interactive,"['Action', 'Indie', 'Early Access']",73.95,['English'],0.0,0.0,1.0,21876.0,21713.0,163.0,0.968227831532758
1,A Short Hike,"30 Jul, 2019",adamgryu,adamgryu,"['Adventure', 'Indie']",29.5,"['English', 'French', 'Spanish - Latin America', 'Japanese', 'Portuguese - Brazil']",0.0,0.0,1.0,10151.0,10075.0,76.0,0.9618704585903538
2,Senren＊Banka,"14 Feb, 2020",YUZUSOFT,HIKARI FIELD,"['Adventure', 'Casual']",131.95,"['English', 'Japanese', 'Simplified Chinese', 'Traditional Chinese']",0.0,1.0,1.0,8627.0,8565.0,62.0,0.9606132975886543
3,Aventura Copilului Albastru și Urât,"8 Feb, 2021",Codrin Bradea,Codrin Bradea,"['Adventure', 'Casual', 'Indie']",7.25,"['English', 'Romanian']",0.0,1.0,1.0,2052.0,2042.0,10.0,0.9452855710237067
4,Maitetsu:Last Run!!,"30 Oct, 2020",Lose,HIKARI FIELD,"['Adventure', 'Casual']",131.95,"['English', 'Japanese', 'Simplified Chinese', 'Traditional Chinese']",1.0,1.0,1.0,1803.0,1785.0,18.0,0.9387321587802491
5,星空列车与白的旅行,"14 May, 2021",しらたまこ,inc.ZOFE,['Adventure'],73.95,"['English', 'Japanese', 'Simplified Chinese']",1.0,1.0,1.0,1079.0,1071.0,8.0,0.9324226166734252
6,Flowers -Le volume sur ete-,"26 Jul, 2018",Innocent Grey,JAST USA,['Casual'],73.95,"['English', 'Japanese', 'Simplified Chinese']",0.0,0.0,1.0,804.0,803.0,1.0,0.9322049098202284
7,ARMORED HEAD,"31 Jul, 2020",Egor Rezenov,Egor Rezenov,"['Action', 'Adventure', 'Indie']",18.5,"['English', 'Russian', 'Spanish - Spain', 'Turkish', 'French', 'Italian', 'Simplified Chinese', 'Polish', 'Ukrainian', 'German', 'Dutch']",0.0,0.0,1.0,554.0,551.0,3.0,0.9207729530809838
8,Terraria,"16 May, 2011",Re-Logic,Re-Logic,"['Action', 'Adventure', 'Indie', 'RPG']",36.95,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese']",1.0,0.0,1.0,935223.0,915705.0,19518.0,0.9714912476195862
9,Stardew Valley,"26 Feb, 2016",ConcernedApe,ConcernedApe,"['Indie', 'RPG', 'Simulation']",55.95,"['English', 'German', 'Spanish - Spain', 'Japanese', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'French', 'Italian', 'Hungarian', 'Korean', 'Turkish']",1.0,0.0,1.0,451403.0,442758.0,8645.0,0.9713027497963295
